service,num_cuad,perc_not_comp-1,perc_not_comp-2,perc_not_comp-3,perc_not_comp-9,perc_reprog-1,perc_reprog-2,perc_reprog-3,perc_reprog-9,dpy_1_Pozo.BM,perc_completed_corr_Pozo.BM,dpy_corr_Pozo.BM,total_work_load_py,task_completed_time_py,task_not_completed_time_py,total_ava_time_py,overtime_py,ontime_py,freetime_py
Recorredores,1,0,0,0,0,0.25,0.19047619,0,0.386075949,NA,1,19.79547463,83.08333333,83.08333333,0,2088,0,83.08333333,2004.916667
Recorredores,2,0,0,0,0,0.25,0.142857143,0,0.360759494,NA,1,19.42047463,83.08333333,83.08333333,0,4176,0,83.08333333,4092.916667
Recorredores,3,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,6264,0,83.08333333,6180.916667
Recorredores,4,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,8352,0,83.08333333,8268.916667
Recorredores,5,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,10440,0,83.08333333,10356.91667
Recorredores,6,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,12528,0,83.08333333,12444.91667
Recorredores,7,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,14616,0,83.08333333,14532.91667
Recorredores,8,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,16704,0,83.08333333,16620.91667
Recorredores,9,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,18792,0,83.08333333,18708.91667
Recorredores,10,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,20880,0,83.08333333,20796.91667
Recorredores,11,0,0,0,0,0.25,0.142857143,0,0.348101266,NA,1,19.42047463,83.08333333,83.08333333,0,22968,0,83.08333333,22884.91667
Recorredores,1,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,8.112022238,27.83333333,27.83333333,0,2088,0,27.83333333,2060.166667
Recorredores,2,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,4176,0,27.83333333,4148.166667
Recorredores,3,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,6264,0,27.83333333,6236.166667
Recorredores,4,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,8352,0,27.83333333,8324.166667
Recorredores,5,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,10440,0,27.83333333,10412.16667
Recorredores,6,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,10440,0,27.83333333,10412.16667
Recorredores,7,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,10440,0,27.83333333,10412.16667
Recorredores,8,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,10440,0,27.83333333,10412.16667
Recorredores,9,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,10440,0,27.83333333,10412.16667
Recorredores,10,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,10440,0,27.83333333,10412.16667
Recorredores,11,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,10440,0,27.83333333,10412.16667
Recorredores,12,0,0,0,0,0.2,0.166666667,0,0.47826087,NA,1,7.995930415,27.83333333,27.83333333,0,10440,0,27.83333333,10412.16667
Recorredores,1,0,0,0,0,0.25,0.115384615,0,0.432692308,NA,1,13.98530219,55.66666667,55.66666667,0,2088,0,55.66666667,2032.333333
Recorredores,2,0,0,0,0,0.25,0.115384615,0,0.432692308,NA,1,13.7025437,55.66666667,55.66666667,0,4176,0,55.66666667,4120.333333Recorredores,1,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,8.11202223805923,27.8333333333333,27.8333333333333,0,2088,0,27.8333333333333,2060.16666666667
Recorredores,2,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,4176,0,27.8333333333333,4148.16666666667
Recorredores,3,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,6264,0,27.8333333333333,6236.16666666667
Recorredores,1,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,8.11202223805923,27.8333333333333,27.8333333333333,0,2088,0,27.8333333333333,2060.16666666667
Recorredores,2,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,4176,0,27.8333333333333,4148.16666666667
Recorredores,3,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,6264,0,27.8333333333333,6236.16666666667
Recorredores,4,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,8352,0,27.8333333333333,8324.16666666667
Recorredores,5,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,10440,0,27.8333333333333,10412.1666666667
Recorredores,1,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,8.11202223805923,27.8333333333333,27.8333333333333,0,2088,0,27.8333333333333,2060.16666666667
Recorredores,2,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,4176,0,27.8333333333333,4148.16666666667
Recorredores,3,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,6264,0,27.8333333333333,6236.16666666667
Recorredores,4,0,0,0,0,0.2,0.166666666666667,0,0.478260869565217,NA,1,7.99593041547473,27.8333333333333,27.8333333333333,0,8352,0,27.8333333333333,8324.16666666667
